"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.981679625E0,-4.474195862E-1,8.766669617E0,2.179767151E0
2.991433625E0,-2.245330811E-3,8.795709229E0,1.925146637E0
3.001229625E0,3.071612549E-1,8.963061218E0,1.392703857E0
3.010995625E0,6.352789307E-1,8.865015106E0,9.936337280E-1
3.020760625E0,1.575473785E0,8.495733032E0,9.862989807E-1
3.030557625E0,2.505938873E0,8.404422913E0,7.902067566E-1
3.040330625E0,3.484603729E0,8.453520813E0,4.640350342E-1
3.050088625E0,3.842210083E0,8.301886139E0,4.655319214E-2
3.059884625E0,3.362008667E0,7.930807800E0,-4.074526978E-1
3.069650625E0,2.622696075E0,7.823930054E0,-4.836442566E-1
3.079447625E0,1.855541382E0,8.114924927E0,-1.983375549E-1
3.089216625E0,1.417103119E0,8.409362640E0,3.532653809E-2
3.098990625E0,1.185834045E0,8.777896271E0,2.149530029E-1
3.108773625E0,1.232686615E0,9.361831970E0,6.375242615E-1
3.118539625E0,1.975292358E0,1.009231293E1,1.567839661E0
3.128304625E0,3.230581970E0,1.089763824E1,2.821782074E0
3.138100625E0,4.771477661E0,1.144160706E1,4.047732697E0
3.147866625E0,5.965544586E0,1.159608582E1,4.807702332E0
3.157657625E0,6.805897064E0,1.091500214E1,5.179529114E0
3.167428625E0,7.547155609E0,1.035875885E1,4.995561676E0
3.177193625E0,7.977510681E0,9.899513855E0,4.625381470E0
3.186990625E0,8.033045197E0,9.438771973E0,3.888912964E0
3.196755625E0,8.008496246E0,9.072184296E0,3.049009552E0
3.206521625E0,7.908055115E0,8.710386658E0,2.341580658E0
3.216317625E0,7.706125031E0,8.613538055E0,2.180515594E0
3.226083625E0,7.266339569E0,8.588240662E0,2.354004822E0
3.235879625E0,6.578070831E0,8.944799194E0,2.684816895E0
3.245644625E0,6.154451752E0,9.478589172E0,2.974464569E0
3.255411625E0,6.027815094E0,9.794881439E0,3.043920135E0
3.265206625E0,6.039490814E0,1.004935226E1,2.929707642E0
3.274972625E0,5.894292755E0,1.012150223E1,2.896776123E0
3.284737625E0,5.041366425E0,1.014335678E1,2.782563629E0
3.294534625E0,4.014352112E0,9.847871246E0,2.294578400E0
3.304299625E0,3.504662018E0,9.458231506E0,2.067201233E0
3.314065625E0,3.549119568E0,9.318272552E0,2.138453064E0
3.323861625E0,3.324736176E0,9.120833130E0,1.867516479E0
3.333627625E0,2.362237701E0,9.087751923E0,1.494342499E0
3.343393625E0,1.444496155E0,9.318272552E0,1.759890289E0
3.353189625E0,1.412762146E0,9.482630768E0,1.715881805E0
3.362954625E0,1.315314789E0,9.642648010E0,1.559157715E0
3.372720625E0,6.846762085E-1,9.714498596E0,1.423839111E0
3.382496625E0,-5.269042969E-2,9.927355957E0,1.393003235E0
3.392281625E0,-4.641847229E-1,1.004052063E1,1.212478638E0
3.402047625E0,-5.565426636E-1,9.654024353E0,1.117575989E0
3.411843625E0,-5.191204834E-1,9.016200714E0,1.102457428E0
3.421610625E0,-5.078938293E-1,8.584199066E0,1.131047974E0
3.431378625E0,-1.636097717E-1,8.184081116E0,1.279389496E0
3.441153625E0,1.475930786E-1,7.935897217E0,1.443448334E0
3.450936625E0,-5.343887329E-2,7.843090210E0,1.585353241E0
3.460703625E0,-2.791694641E-1,7.671846313E0,1.730700989E0
3.470498625E0,-5.658233643E-1,7.345075836E0,1.486858063E0
3.480264625E0,-1.427431641E0,6.877897339E0,1.135538635E0
3.490029625E0,-2.125280457E0,6.325995026E0,1.293909302E0
3.499801625E0,-2.436333618E0,5.962550812E0,1.550026703E0
3.509591625E0,-2.479294281E0,5.894442444E0,1.974843292E0
3.519357625E0,-2.476899261E0,6.111790466E0,2.441273346E0
3.529153625E0,-2.641257477E0,6.655310211E0,2.828667755E0
3.538918625E0,-3.028053131E0,7.188800812E0,3.044518890E0
3.548684625E0,-3.754791870E0,7.758366394E0,3.122057648E0
3.558459625E0,-4.495751038E0,8.287516022E0,2.968327332E0
3.568246625E0,-5.057083740E0,8.839717712E0,2.943928070E0
3.578012625E0,-5.358856201E0,9.326056366E0,3.022364960E0
3.587808625E0,-5.261558533E0,9.642797699E0,2.959944763E0
3.597573625E0,-5.054688721E0,9.703271942E0,2.688708801E0
3.607339625E0,-4.746479645E0,9.753417664E0,2.297871552E0
3.617139625E0,-4.611759796E0,9.698182526E0,1.856738892E0
3.626901625E0,-4.321213989E0,9.495953064E0,1.451381836E0
3.636680625E0,-3.636537781E0,9.508377228E0,1.164727936E0
3.646460625E0,-3.155288544E0,9.957144012E0,1.240171051E0
3.656229625E0,-2.987337799E0,1.029648834E1,1.644629974E0
3.666014625E0,-2.970722351E0,9.721833344E0,1.890568542E0
3.675793625E0,-2.953657837E0,9.516610107E0,2.155367889E0
3.685555625E0,-3.012784882E0,9.427096252E0,2.650538177E0
3.695340625E0,-2.931054840E0,9.203910370E0,3.310366058E0
3.705122625E0,-2.457439728E0,8.824150085E0,3.881129150E0
3.714872625E0,-1.969005432E0,8.376281433E0,4.073479156E0
3.724648625E0,-1.660796356E0,7.817044373E0,4.015848999E0
3.734444625E0,-1.645378418E0,7.219337311E0,3.641327820E0
3.744210625E0,-1.746567993E0,6.908433838E0,3.146157532E0
3.753976625E0,-1.957778778E0,6.883136444E0,2.571502533E0
3.763772625E0,-2.446063385E0,7.128625946E0,2.086810455E0
3.773537625E0,-2.914140015E0,7.761958923E0,1.873054962E0
3.783303625E0,-3.342998199E0,8.593180389E0,1.833537140E0
3.793099625E0,-3.426973572E0,9.326206055E0,1.955383759E0
3.802865625E0,-3.240760803E0,9.896220703E0,2.089504852E0
3.812632625E0,-2.956052856E0,1.025352768E1,2.215991821E0
3.822427625E0,-2.507435760E0,1.034693344E1,2.306104431E0
3.832192625E0,-1.914818115E0,1.011716125E1,2.475552063E0
3.841958625E0,-1.028810577E0,9.770033112E0,2.311792603E0
3.851754625E0,-4.924758911E-1,9.577533417E0,2.126328278E0
3.861520625E0,2.354603577E-1,9.532626801E0,2.016756134E0
3.871285625E0,6.759942627E-1,9.454339600E0,1.908980255E0
3.881081625E0,5.418731689E-1,9.377698975E0,1.867366791E0
3.890848625E0,3.550616455E-1,9.559121704E0,1.910926208E0
3.900613625E0,7.629634094E-1,9.519005127E0,2.008074188E0
3.910410625E0,1.581760712E0,9.588011627E0,2.313738556E0
3.920174625E0,2.327958984E0,9.857002258E0,2.422262878E0
3.929940625E0,2.919528809E0,9.868378601E0,2.396067352E0
3.939736625E0,3.520229645E0,9.432634735E0,2.149679718E0
3.949503625E0,4.447401581E0,8.850046234E0,1.459465027E0
3.959290625E0,4.913681946E0,8.033194885E0,6.083349609E-1
3.969064625E0,4.665048981E0,7.433691559E0,-3.367996216E-2
3.978829625E0,3.587888947E0,7.144343262E0,-5.507048035E-1
3.988595625E0,2.537523193E0,7.140451355E0,-5.764512634E-1
3.998391625E0,1.829345856E0,7.730075226E0,-1.868115234E-1
4.008165625E0,1.944755859E0,8.566535797E0,5.797444153E-1
4.017949625E0,2.594704285E0,9.629774780E0,1.645079041E0
4.027718625E0,3.610491943E0,1.076231964E1,2.697390747E0
4.037485625E0,4.808600464E0,1.156360336E1,3.590433655E0
4.047251625E0,5.824986877E0,1.188513474E1,4.334236908E0
