"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.249113625E0,4.178529382E-1,5.924446508E-2,-7.127507925E-1
3.259795625E0,4.923525155E-1,-3.981070966E-2,-8.597501516E-1
3.270476625E0,5.464858413E-1,-5.993058905E-2,-1.068507195E0
3.281139625E0,5.949715972E-1,2.293766104E-2,-1.260038733E0
3.291824625E0,5.839899182E-1,8.835507184E-2,-1.349910855E0
3.302519625E0,5.355851054E-1,1.276527047E-1,-1.405321121E0
3.313200625E0,5.209246278E-1,1.904540360E-1,-1.510979176E0
3.323881625E0,4.599905014E-1,2.389435470E-1,-1.628316402E0
3.334563625E0,3.759591281E-1,2.850690782E-1,-1.676023483E0
3.345233625E0,3.357901573E-1,2.672754526E-1,-1.673168063E0
3.355922625E0,3.157153130E-1,2.509756386E-1,-1.679052234E0
3.366606625E0,2.862783968E-1,2.309199423E-1,-1.673883438E0
3.377287625E0,2.478237152E-1,2.197192460E-1,-1.605311632E0
3.387968625E0,2.182144076E-1,2.177024335E-1,-1.467447162E0
3.398650625E0,1.889958084E-1,2.484489083E-1,-1.380669475E0
3.409323625E0,1.456547230E-1,2.979416251E-1,-1.389870644E0
3.420012625E0,9.809439629E-2,2.674798369E-1,-1.430767179E0
3.430693625E0,3.877188638E-2,2.109735906E-1,-1.488605857E0
3.441374625E0,7.642593846E-5,1.156073958E-1,-1.541849136E0
3.452055625E0,-2.082261816E-2,-4.282450303E-2,-1.536939144E0
3.462737625E0,-3.553709388E-2,-2.157933414E-1,-1.521159887E0
3.473418625E0,-6.566642970E-2,-2.466095090E-1,-1.473395228E0
3.484113625E0,-8.360384405E-2,-1.642461717E-1,-1.393983245E0
3.494780625E0,-1.030637845E-1,-3.398852795E-2,-1.297456861E0
3.505461625E0,-1.247554943E-1,7.040259987E-2,-1.214325786E0
3.516147625E0,-1.366454363E-1,1.344201863E-1,-1.143522501E0
3.526823625E0,-1.301782131E-1,1.633237451E-1,-1.052271128E0
3.537505625E0,-1.112585962E-1,1.496308297E-1,-9.453844428E-1
3.548186625E0,-1.121867076E-1,1.383355707E-1,-7.981094718E-1
3.558867625E0,-1.420551389E-1,2.015805095E-1,-6.151291728E-1
3.569548625E0,-1.749126166E-1,3.087842464E-1,-4.503211379E-1
3.580229625E0,-2.114759237E-1,3.837101758E-1,-3.378491700E-1
3.590910625E0,-2.391684800E-1,4.620204866E-1,-2.911983728E-1
3.601591625E0,-2.517790198E-1,5.254932642E-1,-3.007213771E-1
3.612282625E0,-2.290656865E-1,5.321506262E-1,-2.766200602E-1
3.622953625E0,-1.969943047E-1,4.643960893E-1,-2.210638523E-1
3.633642625E0,-2.013986409E-1,3.617141843E-1,-1.675819904E-1
3.644316625E0,-2.321573496E-1,2.407853603E-1,-2.862942405E-2
3.654997625E0,-2.600576878E-1,1.091453210E-1,1.516628414E-1
3.665678625E0,-3.027595878E-1,-4.167002439E-2,2.493273616E-1
3.676359625E0,-3.376949430E-1,-1.520058662E-1,3.323484659E-1
3.687041625E0,-3.268212378E-1,-1.928039044E-1,4.380741119E-1
3.697722625E0,-2.523690760E-1,-1.761567295E-1,5.480371118E-1
3.708403625E0,-1.518631577E-1,-1.591372043E-1,6.504105330E-1
3.719084625E0,-7.249399275E-2,-1.793377846E-1,7.371491194E-1
3.729765625E0,-6.212132983E-3,-2.121207267E-1,8.069763780E-1
3.740449625E0,4.129147157E-2,-2.697470188E-1,8.733292818E-1
3.751122625E0,5.798629299E-2,-3.315320909E-1,9.424508810E-1
3.761809625E0,5.168845132E-2,-3.446084857E-1,1.019186616E0
3.772490625E0,3.745838255E-2,-2.818382978E-1,1.092448592E0
3.783171625E0,5.990403518E-2,-1.951049864E-1,1.177507043E0
3.793852625E0,1.281893551E-1,-7.092211396E-2,1.252367735E0
3.804532625E0,1.783050299E-1,6.999082863E-2,1.306756616E0
3.815215625E0,2.189800739E-1,1.190433577E-1,1.395220876E0
3.825896625E0,2.514581680E-1,6.641694158E-2,1.512866616E0
3.836577625E0,3.099218011E-1,-1.072802469E-1,1.609389901E0
3.847258625E0,3.880443275E-1,-2.304106653E-1,1.704539776E0
3.857947625E0,4.458809793E-1,-3.588850200E-1,1.782866240E0
3.868617625E0,4.562849104E-1,-5.066092014E-1,1.847085953E0
3.879308625E0,4.156282842E-1,-6.564000845E-1,1.909431100E0
3.889983625E0,3.928042054E-1,-8.244109154E-1,1.953300595E0
3.900664625E0,3.875337839E-1,-9.166321754E-1,1.922819376E0
3.911345625E0,3.971832395E-1,-9.098323584E-1,1.815609694E0
