"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.161205646E1,-3.426973572E0,5.240452423E0,8.478967896E0
5.162180846E1,-3.316952362E0,5.322930908E0,8.425678711E0
5.163158546E1,-3.309168549E0,5.367538147E0,8.471483459E0
5.164136146E1,-3.372636566E0,5.347030792E0,8.272846527E0
5.165113546E1,-3.500321045E0,5.400170288E0,8.025710449E0
5.166090446E1,-3.533402252E0,5.506748657E0,7.905211029E0
5.167068246E1,-3.419339447E0,5.527256012E0,7.940687256E0
5.168044846E1,-3.196153564E0,5.430108032E0,8.043673096E0
5.169024446E1,-3.065325623E0,5.201832733E0,8.201744385E0
5.170001046E1,-2.971620483E0,5.016368408E0,8.313112793E0
5.170977546E1,-3.077001343E0,4.566254425E0,7.927065582E0
5.171957246E1,-3.238814850E0,4.746779022E0,8.885073395E0
5.172933746E1,-2.810106354E0,5.236710205E0,8.961264954E0
5.173910446E1,-2.434836731E0,5.474266205E0,8.887468414E0
5.174886846E1,-2.098486176E0,5.174290009E0,9.014254761E0
5.175866546E1,-1.717678070E0,4.810845795E0,9.064400482E0
5.176843146E1,-1.642684021E0,4.531676331E0,9.066945190E0
5.177819646E1,-1.866768036E0,4.515509949E0,9.084458771E0
5.178796146E1,-2.222727814E0,4.654121704E0,8.923244019E0
5.179775846E1,-2.521955566E0,4.743485870E0,8.658744049E0
5.180752346E1,-2.646646271E0,4.705015869E0,8.402177582E0
5.181728946E1,-2.505938873E0,4.625680847E0,8.265811157E0
5.182706546E1,-2.355651398E0,4.574487305E0,8.260272675E0
5.183682046E1,-2.266586609E0,4.574187927E0,8.164920959E0
5.184661646E1,-2.228116608E0,4.580774231E0,8.207582245E0
5.185638246E1,-2.249522095E0,4.683760071E0,8.299042053E0
5.186614746E1,-2.325863342E0,4.761448517E0,8.353229370E0
5.187591346E1,-2.368973694E0,4.796625366E0,8.311316528E0
5.188570146E1,-2.318827972E0,4.779111786E0,8.398285675E0
5.189547546E1,-2.218835907E0,4.749473419E0,8.449778595E0
5.190524046E1,-2.127675476E0,4.721930695E0,8.419990540E0
5.191500646E1,-2.035018158E0,4.678520966E0,8.444539490E0
5.192480246E1,-2.007325745E0,4.622387695E0,8.581354980E0
5.193456846E1,-1.977088623E0,4.622387695E0,8.599766693E0
5.194435046E1,-2.011966095E0,4.625680847E0,8.552015991E0
5.195409946E1,-2.139800262E0,4.632716217E0,8.488697662E0
5.196389646E1,-2.326611786E0,4.695884857E0,8.386310577E0
5.197366146E1,-2.459535370E0,4.828059998E0,8.396639099E0
5.198342646E1,-2.464624786E0,4.963827667E0,8.409811707E0
5.199318946E1,-2.450404358E0,5.030588837E0,8.458460541E0
5.200295946E1,-2.431693268E0,5.087171173E0,8.389004974E0
5.201275446E1,-2.376907196E0,5.127587128E0,8.366701355E0
5.202252046E1,-2.423460388E0,5.134772186E0,8.407865753E0
5.203228546E1,-2.536774750E0,5.159321136E0,8.552315369E0
5.204205146E1,-2.671793976E0,5.229225769E0,8.573421478E0
5.205184746E1,-2.762056274E0,5.281616821E0,8.591234436E0
5.206162046E1,-2.744393005E0,5.323379974E0,8.639883270E0
5.207137846E1,-2.585573273E0,5.356760559E0,8.636141052E0
5.208114446E1,-2.395468597E0,5.295986938E0,8.696764984E0
5.209090946E1,-2.234403534E0,5.223088531E0,8.707991638E0
5.210070646E1,-2.297721863E0,5.161416779E0,8.537795563E0
5.211048346E1,-2.435884552E0,5.210364990E0,8.342451782E0
5.212022746E1,-2.551144867E0,5.315745850E0,8.098908234E0
