"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.379560417E0,1.123321772E0,5.848807693E-1,-7.509613037E-2
3.390241417E0,1.182873011E0,5.049912333E-1,1.164666414E-1
3.400922417E0,1.219919205E0,3.926657736E-1,2.778092027E-1
3.411603417E0,1.237698793E0,3.678738773E-1,3.773922324E-1
3.422284417E0,1.253560781E0,4.564919174E-1,3.931464255E-1
3.432995417E0,1.253064990E0,5.663931370E-1,3.312066793E-1
3.443677417E0,1.255858421E0,6.502097249E-1,2.095582634E-1
3.454358417E0,1.294425726E0,7.622479200E-1,4.781629890E-3
3.465039417E0,1.288751841E0,8.202323914E-1,-2.945118845E-1
3.475699417E0,1.233088613E0,7.358077765E-1,-5.045708418E-1
3.486406417E0,1.196793914E0,4.968774021E-1,-5.860067010E-1
3.497083417E0,1.187958837E0,1.799825132E-1,-4.767411947E-1
3.507764417E0,1.248972893E0,-1.486377269E-1,-2.733190954E-1
3.518439417E0,1.363198042E0,-2.884730995E-1,-1.305074897E-2
3.529121417E0,1.528915048E0,-2.424150854E-1,2.420033962E-1
3.539802417E0,1.809342980E0,-1.330856532E-1,5.153446198E-1
3.550502417E0,2.239129305E0,-8.239080757E-2,8.234865665E-1
3.561170417E0,2.552415609E0,-6.086021662E-2,1.085406780E0
3.571851417E0,2.139049768E0,7.557618618E-2,1.228878736E0
3.582532417E0,9.651116729E-1,2.435480207E-1,1.358942389E0
3.593213417E0,1.616752893E-1,2.628777325E-1,1.444535017E0
3.603894417E0,-7.437449098E-1,-3.328169286E-1,1.636390090E0
3.614589417E0,-5.983152986E-1,-5.202508569E-1,1.487303495E0
3.625257417E0,3.352315724E-1,7.224646211E-1,2.808056474E-1
3.635938417E0,5.127909184E-1,1.342850685E0,-1.318154931E-1
3.646619417E0,8.822563291E-1,2.090924025E0,-5.830981210E-2
3.657300417E0,1.013733268E0,2.454854250E0,7.099307775E-1
3.668003417E0,3.362495601E-1,2.072427988E0,2.183630466E0
3.678693417E0,9.016700983E-1,1.299252629E0,2.507555246E0
3.689349417E0,5.530628562E-1,-2.661119401E-1,1.321566224E0
3.700055417E0,-3.910040557E-1,-9.415561557E-1,2.989919186E-1
3.710736417E0,-6.594115496E-1,-9.244155288E-1,-3.407006860E-1
3.721417417E0,-6.294443011E-1,-6.099910140E-1,-8.737787008E-1
3.732099417E0,-5.780522227E-1,-6.095960736E-1,-1.493886113E0
3.742765417E0,-5.319467783E-1,-4.831872582E-1,-1.768107533E0
3.753459417E0,-5.325326920E-1,-5.540281534E-1,-1.913029313E0
3.764142417E0,-6.986342669E-1,-6.291396618E-1,-2.112123966E0
3.774825417E0,-9.852536917E-1,-1.018070579E0,-2.204371214E0
3.785504417E0,-9.982275963E-1,-1.179486394E0,-2.114349842E0
3.796184417E0,-9.690805674E-1,-1.336453199E0,-1.826387286E0
3.806867417E0,-9.868576527E-1,-1.517225623E0,-1.501421213E0
3.817548417E0,-9.855412841E-1,-1.680326700E0,-1.146214962E0
3.828229417E0,-9.682400823E-1,-1.785236597E0,-9.274388552E-1
3.838910417E0,-9.666120410E-1,-1.712016225E0,-7.959146500E-1
3.849591417E0,-1.070777059E0,-1.496620774E0,-7.774706483E-1
3.860272417E0,-1.313015699E0,-1.117507577E0,-8.717257977E-1
3.870954417E0,-1.572498441E0,-7.357849479E-1,-9.000604749E-1
3.881643417E0,-1.749177575E0,-6.631382108E-1,-7.884828448E-1
3.892324417E0,-1.890011311E0,-9.168664217E-1,-6.277848482E-1
3.903028417E0,-2.105326414E0,-1.212321758E0,-4.772707224E-1
3.913709417E0,-2.225334167E0,-1.434005141E0,-3.411070406E-1
3.924390417E0,-2.258471251E0,-1.465338588E0,-3.639058173E-1
3.935071417E0,-2.195619345E0,-1.254939795E0,-3.984281123E-1
3.945752417E0,-1.987268925E0,-9.630193114E-1,-1.411161572E-1
3.956433417E0,-1.742984653E0,-7.768549919E-1,1.619268060E-1
3.967114417E0,-1.561798096E0,-7.663373947E-1,3.802530169E-1
3.977796417E0,-1.517393827E0,-8.434324265E-1,4.758290648E-1
3.988477417E0,-1.572316766E0,-8.581344485E-1,4.265121222E-1
3.999139417E0,-1.604469538E0,-6.628745794E-1,3.747599423E-1
4.009842417E0,-1.568555951E0,-3.435974717E-1,3.735277057E-1
4.020528417E0,-1.495472431E0,6.191751454E-3,4.461701512E-1
4.031201417E0,-1.446838379E0,1.242755204E-1,5.735786557E-1
4.041883417E0,-1.526576281E0,-1.067092344E-1,6.873787642E-1
4.052564417E0,-1.783082962E0,-5.610051155E-1,8.308541775E-1
4.063245417E0,-2.104695320E0,-1.029795766E0,9.811150432E-1
4.073926417E0,-2.345757246E0,-1.368618011E0,1.124557972E0
4.084607417E0,-2.312650442E0,-1.582917333E0,1.260261655E0
4.095288417E0,-1.909595370E0,-1.569802046E0,1.327652693E0
4.105969417E0,-1.241230845E0,-1.234391570E0,1.287829399E0
4.116670417E0,-5.215974450E-1,-8.581135869E-1,1.185414076E0
4.127344417E0,-8.705664426E-2,-6.112955809E-1,9.277511239E-1
4.138037417E0,-7.932010293E-2,-4.731682688E-2,1.882953644E-1
4.148725417E0,-2.843507528E-1,4.131655693E-1,-2.957685292E-1
4.159406417E0,-6.217908263E-1,1.795573235E-1,-3.166748881E-1
4.170087417E0,-5.663371682E-1,8.628746271E-1,-1.291428566E0
4.180768417E0,-1.360108107E-1,1.857416987E0,-1.169612885E0
4.191449417E0,-2.882738709E-1,2.112507343E0,-7.781364918E-1
4.202130417E0,-5.742321014E-1,1.815113425E0,-5.623365641E-1
4.212811417E0,-4.283840954E-1,1.150902987E0,-1.557629406E-1
4.223482417E0,-5.182665214E-2,6.087468863E-1,1.619960964E-1
4.234169417E0,2.844086587E-1,2.058891654E-1,5.120118856E-1
4.244849417E0,5.617399216E-1,-2.169853449E-1,7.604096532E-1
4.255536417E0,7.919683456E-1,-4.569992721E-1,6.030074954E-1
4.266217417E0,8.951740861E-1,-6.690582633E-1,3.508804739E-1
4.276898417E0,8.549756408E-1,-7.959151864E-1,3.584748805E-1
4.287580417E0,7.350811362E-1,-7.836978436E-1,5.595476627E-1
4.298260417E0,6.911154985E-1,-8.280192018E-1,6.378781796E-1
4.308942417E0,6.752225757E-1,-7.534427047E-1,2.778581977E-1
4.319623417E0,6.084952354E-1,-4.998967350E-1,-5.110515952E-1
4.330304417E0,6.013981700E-1,-5.817444250E-2,-7.964833379E-1
